teff (K),abs (mag),spect
5435.561948,4.819,G5V
6341.814156,3.189,F3/F5V
11277.69149,-0.897,B9V
6286.393689,3.275,F5V
4001.523309,0.588,K2III
5387.595678,3.211,G0III
5968.836057,2.419,F6V
3473.05988,-0.81,M2III
5523.933113,3.789,G2/G3V
4382.147666,1.922,G8III
3715.306324,0.698,K1III
4503.476822,0.218,K0II
4322.525451,0.893,K1III
9816.29028,-0.361,A0/A1V
3799.241367,-0.739,K2/K3IIICN.
4080.7646,0.563,K3IIICN...
4312.784544,0.889,K1III
6203.079979,3.285,F6V
6725.478332,2.558,A9V
6306.406105,4.524,F0V
5861.844882,4.451,F7V
5779.629373,1.884,G3V
5882.858873,2.554,F5V
5449.46365,4.857,G3V
4102.908021,0.903,K2III
3799.241367,8.567,K7V comp SB
4148.110119,0.606,K1III
4460.698201,1.359,G8IV
5878.641014,4.171,G0/G1V
4640.554633,2.825,K0III
5791.777837,3.274,F6V
4687.811298,6.679,K3V
4348.111353,0.753,K0III
5619.748139,3.896,G2V
5456.447905,3.174,G1V
4092.650744,1.102,K2III
4527.446045,0.53,K0III
3620.72489,-0.078,K5/M0III:
5397.784988,1.043,B0.5V
3795.002325,-0.001,K4III
4314.728334,2.02,G8/K0III
6030.919743,1.053,B1Iab
3600.789659,-0.431,M4III
5307.777607,3.245,G2V
4366.047904,0.791,G6III:
10181.82115,2.071,A0V
4123.61676,-0.065,K2III
3960.179868,0.285,K2III
8007.464008,1.713,A3IV
5224.566405,4.322,G3V
5951.389681,2.98,F5V
4384.170584,1.007,K0III
5353.975599,3.877,G5IV
4542.866145,-0.921,K0III
4332.321548,1.761,K0V
4075.6969,0.012,G5V
4567.365068,0.689,G8III
5387.595678,5.211,G5V
3927.556796,-1.028,K2III
5268.96366,5.062,G3V
6445.78121,2.169,F2V
4233.073452,0.763,K0/K1III
5397.784988,1.244,F7V
3800.657014,-0.687,K4III
4297.31265,0.938,K1III
7257.367409,1.377,A7III
6382.894913,0.531,F4II
6085.436994,2.95,F5V
4266.780961,0.854,K0III
3468.545014,-1.057,M3III
4322.525451,7.174,K7V:
5799.912358,4.944,G3V
4751.079085,-0.221,G8III
5836.87425,2.674,F5V
5567.644045,3.909,G1IV
5340.673788,2.925,G3V
4523.064292,-0.378,G8/K0III
4605.884616,-0.581,G8/K0III+..
5456.447905,3.19,G3V
3520.199884,-0.241,M0III
4334.287435,6.701,K3V
4352.081325,6.953,K2V
5849.326254,0.764,F6III
4490.535786,2.288,K2III
4659.313855,6.509,K3V
9696.668735,-1.046,A0IV
4690.205787,1.687,G8III
5044.38623,5.285,K0V
5731.665298,3.322,F8V
4439.686856,-0.519,G8/K0III
9011.591969,-0.127,B9V
6737.303352,2.669,F2IV
4520.877388,1.307,K0III
4406.577836,0.997,K0III
4494.839127,0.086,K0III
4420.986842,0.874,K0III
4404.52898,0.616,K0III
4392.285665,1.021,K0III:
8234.242732,1.624,A2V
9187.434817,-1.208,B9III
8053.418048,0.292,B9III
5938.388277,2.936,F7V
4040.658399,1.336,K2III
3856.916235,8.29,M0V:
5604.737114,2.459,G2/G3V
3624.493535,-0.542,M4III
7077.563913,2.757,A7/A8V+...
5608.480469,3.808,G2V
4242.369764,1.031,K0III
4423.054898,0.253,K0III
5199.613192,3.891,G5V
4358.053307,1.072,K0III
7728.148583,-0.146,B8V
6099.259686,3.726,F5V
5999.677148,2.241,F5V
6445.78121,4.048,F4V
5411.445952,3.724,G1V
3919.88803,0.18,K2IIICN...
5964.462482,3.377,F6III
6521.140052,3.058,F2V
3944.560912,-0.563,M4IIIe-M8e
4538.447014,-0.014,K0III
6672.900966,1.635,F2V
7518.391281,1.205,A2/3IIw
5942.714184,2.741,F8V
6515.684172,1.882,F5III
4481.959921,-0.677,K0III
8855.646036,1.168,A0IV
4496.994667,1.451,G8III
6649.861142,1.54,B8III
12902.92632,-0.318,B5V
5631.072573,3.463,G1V
4001.523309,0.122,K1III
5673.08862,3.487,F6/F7V
5428.644273,-11.43,A5Iab
6388.076886,2.283,F2V
6160.077476,2.66,F3V
7179.917015,2.007,A6V
7118.065132,2.572,A9V
4364.045819,1.578,K0III
3575.036747,-1.461,K5III
4469.172578,-1.258,G8III
4020.97183,0.462,K2III
5688.56245,3.021,F8V
4431.35137,0.819,G5III:
5631.072573,4.793,G0V
7629.542133,-0.764,B9III
4400.438402,0.432,K0III
4074.01116,-0.725,K2III
4332.321548,-0.05,G5V
5491.707818,3.757,G2/G3V
5646.260913,2.562,F7/F8V
3707.299195,-2.236,K4III
6150.622251,3.773,F3V
4678.263817,0.229,G8III
4238.645119,1.518,K0III
6336.725438,2.06,F6IV
4711.894648,0.698,G8III
4425.125374,1.285,K0III
5593.544425,0.592,F6V
5549.326393,3.972,G1V
4638.222989,3.296,K0V
5513.138907,4.403,G2/G3V:
3712.63248,-0.738,K4III
5627.291427,3.695,G0V
6053.486361,1.613,F6III
6117.812585,3.186,F5V
6311.434135,2.715,F3V
5102.703641,2.977,G5IV
6461.746003,1.295,F2II
6388.076886,2.989,F2V
5916.876245,2.767,F6V
6672.900966,2.377,F2V
10847.99891,-0.295,B9.5V
5665.391076,4.685,G0V
7044.249814,1.824,F0V
3554.523429,0.025,M2III
6127.142077,2.752,F5V
3618.217897,0.165,K4/K5III
3556.921489,0.118,M4III
4477.687318,1.193,G9III
3586.017163,2.07,R4v
4156.946229,-0.522,K0III
4310.842941,0.237,K2III...
3767.041199,-0.008,K3III
8166.45078,0.379,A7V
6908.498473,3.171,A9V
5921.16306,3.464,F5V
3742.312152,-0.662,K4III
4094.355838,0.852,K2IVCN...
5799.912358,3.977,F6V
4236.78586,-0.055,F7IV..
3790.775087,8.348,M0Ve
6203.079979,2.096,F3V
6160.077476,2.387,F6V
4146.348526,0.464,K1IV
4089.245877,1.208,K2/K3III
6053.486361,3.037,F5IV
6169.569123,1.979,F3V
5597.269109,4.692,F7Vw...
5895.557981,2.821,F5V
4408.629077,0.942,G8III
4374.079267,0.109,K0III
6985.260549,1.124,F0IV
4529.640904,-0.249,G8/K0III
5960.09691,3.72,F7V
3812.029853,-0.277,K2III
4135.81811,-0.32,K1III
4540.655236,0.412,G8/K0III
6286.393689,2.793,F3V
17067.12384,-2.416,B2IV
11800.49986,0.55,B8V
6256.670718,3.17,F5V
3949.230414,-0.454,K3III
11520.35266,0.78,B9III
4075.6969,0.979,K2III
11873.2305,1.25,B9V
5418.308916,3.912,G0V
5044.38623,1.878,G5V
4594.471192,1.282,G8/K0III
5853.4917,3.115,F7V
4318.622494,1.982,K0III
4308.903523,0.762,K0II
7236.037875,0.596,A9IV
3673.093858,-0.873,K3/K4III
3767.041199,-2.264,K3III
5230.851598,5.284,G5V
9385.662985,1.977,A2V
4181.939772,-0.473,K1III
2810.729712,-10.59,M2Iab
4728.938083,-0.633,K0III...
5481.070123,3.738,G3V
5646.260913,4.557,G3V
7998.351672,0.667,A5III
4496.994667,1.767,K0III
3963.322245,0.826,K3III
3621.980016,-0.109,M3III
4394.320308,1.011,K0III
4418.921201,6.464,K4V
5904.062214,4.102,F6V
4540.655236,3.665,G5III
6515.684172,3.232,F3V:
6169.569123,4.004,F5V
9908.462863,1.124,A0II
9048.562667,-1.126,B9V
6510.23969,3.247,F3V
8293.482207,1.375,A5III
4187.344542,1.532,K0III
7381.272968,0.451,A7IV
5882.858873,2.496,F8V
6053.486361,3.57,F3/F5V
6108.518527,1.165,F5V
5488.156188,-9.3,B1Ibe...
4433.431572,0.226,G8/K0III
5947.047978,3.231,F5V
5836.87425,4.141,F8/G0V
8394.623791,2.073,B9V
4610.469868,1.189,G6/G8III
5904.062214,4.461,G0V
5474.006887,2.812,G2/G3V
5739.590174,4.251,F8V
6440.481492,1.755,F4IV
4462.813028,0.787,K0III
4408.629077,-0.272,G8III-IV
4118.415098,0.097,K2III
9123.65501,1.045,A3V
5808.075502,3.495,F7V
5542.041421,3.173,G0IV
4443.869322,1.367,G5IV
5534.780311,4.879,G3V
4125.3543,1.632,K1IV
4192.766808,0.182,K1III
3966.470863,0.739,K2III
9265.460325,0.289,B9III
4857.93623,4.892,G8V comp SB
4301.167607,1.524,K1III
5466.966362,5.161,G3V
3728.748117,-1.081,K3III
10474.84811,-0.09,B6V
5771.56571,4.691,F7V
4212.799622,0.804,K1III
5960.09691,3.951,F7IV
6099.259686,1.192,B8V
6188.662586,2.292,F6IV
7293.268403,2.474,A4V
3883.592445,-0.19,K2III
6554.116828,2.982,A0V
5256.182661,4.108,G6V
6131.820178,1.422,F5V
5882.858873,2.792,F7V
3639.666743,0.399,M4IIvar
6141.203225,0.162,F3V
9523.893817,0.764,B9V
4628.92562,-0.312,G8III
6593.12128,2.258,F0V
6346.913103,2.61,F5V
5964.462482,4.21,F6V
3855.447633,0.754,K4III
5973.217658,2.466,F6V
4079.073617,1.057,K2III
5779.629373,3.717,F7V
5384.209914,5.025,G5V
4137.568536,-0.448,G9III:
5459.948433,0.323,B7II
4231.220295,1.024,K0/K1III
4144.588802,2.732,K3III
5538.407891,4.474,G0V
3823.488154,-1.4,M5III
4400.438402,1.254,K0IV
8081.308708,1.971,A3V
4198.206663,7.303,K3V
10181.82115,-1.309,B8V
4661.672106,0.481,G8III
8156.879784,1.952,A3/A4V
4761.003014,2.997,G8IV
4673.508275,2.179,K0IV
5755.522428,4.412,F7V
4097.771359,0.524,K1/K2III
4247.972102,1.597,K0III
10474.84811,0.997,B9Vp...
5669.236582,2.992,F9V
4505.642737,0.592,G8III
5887.084306,3.677,F7/F8V
10620.20883,0.402,A0V
4037.360576,0.799,K3III
9345.163821,0.8,A2V
10457.02616,-0.131,B9.5Vn
4362.046027,0.427,K0III
5751.529004,4.226,G3IV
6554.116828,3.265,A9III-IV
6155.345325,3.315,F5V
4488.387975,-0.126,K0III
4210.968567,1.902,K0III
4959.958872,-0.222,G0II
4512.156136,1.25,K0III
4227.520058,0.1,K0II-III
4274.362982,2.42,K1III
5938.388277,-9.66,F2/F3V
12784.00428,0.153,B7IIIp...
6554.116828,2.9,F3V
4910.971123,0.801,G6/G8IV
5878.641014,4.425,F6V
5861.844882,2.973,F7V
6251.750984,3.762,F3V
8343.669885,0.263,A1III
8974.996609,1.532,A3V
10713.65621,0.044,B9V
7557.621193,2.848,A5V
3910.734755,-0.121,K2III
4475.554832,0.632,G8III
5828.609647,2.554,F5V
13149.29217,-0.459,B3V
4392.285665,6.776,K5V
5646.260913,4.03,G0V
4364.045819,1.678,G8III
4603.596262,0.925,G8III
6212.738339,2.462,F5IV
4378.10882,0.461,K0/K1III
4831.950936,0.339,G5III
4194.578134,0.447,K0III
9023.873528,1.259,A3V
5771.56571,2.868,F7V
4726.493872,-1.606,A2Ia
5601,3.15,G5V
3620.72489,-0.765,K3/K4III:
3974.369842,2.287,K2III
4330.35789,1.393,K0III
5360.657629,4.904,G5V
4692.603337,-1.964,G0Ib
5828.609647,-11.39,B0.5Ib
13149.29217,-1.165,B7IV
4092.650744,0.469,K1IIICN...
9036.197017,1.122,A2V
5947.047978,3.868,F7V
5070.421844,1.731,G5V
5477.535659,3.879,G3V
3613.216904,11.172,M3.5Ve
4194.578134,1.325,K2III
9681.971242,1.015,A1V
4200.023871,1.377,K1III
4596.748219,2.216,G8III-IV
6953.018333,1.292,A5II
5038.645818,5.136,G8V
10751.6143,-0.522,B9Vn
4560.650822,2.12,G8III-IV
8488.332429,0.435,A5III
4257.350564,1.787,K1IIICN...
3404.687601,-0.673,K2III
5456.447905,4.479,G2V
7031.033581,2.214,F1III-IV
3460.679191,-2.037,M1III
5452.952982,1.629,F6III
7589.375962,2.368,A7III-IV
5947.047978,2.066,F3V
4350.095206,-0.658,K0III
5882.858873,3.185,F7V
5934.070234,4.046,F7V
5597.269109,-11.45,A0Ia
8016.602342,1.993,A3/A4V
3757.375916,-1.414,K4/K5III
6094.643406,3.705,F5/F6V
4839.709992,2.376,G8IV
7124.871793,1.367,A9V
4886.927141,0.245,G5/G6III
5787.72126,4.105,F8V
6306.406105,3.083,F2V
3845.206421,-2.112,K2III
4283.888029,7.39,K7V:
9467.994019,1.795,A0V
7024.448674,2.585,F0III:
6456.413429,3.445,F3V
5560.298867,4.275,G2V
5067.512407,5.728,K0V
4192.766808,0.794,K1IIICN...
5377.454317,4.51,G5V
4558.418218,1.686,K0III
4029.145371,-0.213,K2/K3III
6499.384764,3.406,F5V
4400.438402,1.742,K0III
6246.840911,2.777,F6V
6103.884718,3.063,F7/F8V
6155.345325,3.483,F3V
5676.947207,4.162,G0V
5904.062214,4.039,G0V
4987.706984,5.956,K1V
3730.09899,-0.004,K3/K4III
5982.005035,2.699,F7V
6164.818732,2.961,F5/F6V
3696.689852,-0.626,K3III
4216.46771,1.766,K1III
8809.006554,1.272,A0V
5567.644045,3.419,G1V
3922.951041,-0.217,K1III
6537.576459,3.459,F2V
4187.344542,1.303,K1IIICN...
5162.736309,5.784,G8V
4852.711238,5.822,K1IV
4358.053307,2.184,K1III
8118.874434,1.615,A0/A1IV
6815.452952,1.283,A4IVp...
6008.56227,2.743,F5V
6570.762215,2.641,F3V
5692.447417,4.717,G0V
6336.725438,3.202,F0V
4348.111353,0.423,G8III
5612.23008,4.017,G1V
5955.739318,4.156,F3/F5V
6291.381901,3.866,F3V
4423.054898,0.407,K0III
5882.858873,3.373,F7V
6504.806566,3.04,F2IV
5234.001291,-12.43,B9Ia
5812.167858,3.607,F7/F8V
4011.218102,0.748,K1/K2III
3592.153927,-1.699,K5III
5982.005035,4.024,F8V
4640.554633,2.557,G8/K0III
4619.674703,0.545,G8III
5256.182661,3.516,G8V
3941.45557,-0.122,K2III
5759.522792,3.848,F7V
6346.913103,2.602,F5V
6581.918012,2.759,A9V
5657.71959,4.373,G0V
5887.084306,-2.639,F0V
6377.723436,2.259,F3V
6510.23969,3.48,F2V
4242.369764,0.114,K1III
4592.196982,1.134,K0III
4227.520058,1.552,K2III
4123.61676,0.547,G9III
4062.259598,2.772,G6/G8III:
5150.588687,-11.88,B8Ia
5459.948433,5.276,G2V
5692.447417,3.626,G2V
4558.418218,0.591,K0/K1III
4702.22426,3.288,G0V
4218.304751,0.846,K1III
4251.717284,0.915,K1III
3738.23,-0.415,M5III
4596.748219,3.038,K0IV
4040.658399,1.111,K2III
7050.881258,2.967,A9V
6232.168346,3.149,F3/F5V
5767.544413,3.668,F8/G0V
4547.296049,1.106,G8III
5567.644045,1.59,G0V
4905.602474,5.602,K1V
4484.100047,0.744,K0III
4481.959921,0.441,G8/K0III
5853.4917,3.261,F7V
6217.581636,2.729,F3/F5V
6933.850796,2.59,A9V
5787.72126,3.536,F7V
4336.255552,0.152,K0II
6761.110109,2.322,F0V
3424.189458,0.26,M4III
4531.838426,0.871,K0III
5968.836057,3.388,F6V
4067.285593,0.074,K1III
6382.894913,2.89,F3/F5IV:
4251.717284,0.82,K0IIICN...
3516.696326,-0.415,M1III
10926.6793,0.462,A0V
9345.163821,2.597,A0V
6053.486361,3.384,F6V
3640.938354,-0.089,M3III
6039.921118,4.208,F5V
4158.719103,0.477,K2II
8333.571644,2.203,A3V
4897.576946,1.599,G8IV
6331.646916,3.085,F5V
4494.839127,0.717,K0III
6661.356151,3.568,F2V
8879.198304,1.736,A2V
4516.511499,0.831,G8III
3771.202526,-10.85,M1Ib+...
6914.814815,0.784,A9IV
5360.657629,5.074,G3V
4048.932507,-2.993,G9II
11635.04127,-1.634,B6V
4808.85912,1.029,G6IV
7097.742302,1.094,A1V
6382.894913,1.525,F6III-IV
4998.91532,-13.75,A5Ia
4433.431572,1.349,K2V
3898.613131,0.185,M5/M6III
3474.190893,-0.62,M1III
4716.748519,-0.162,G8III
4376.092884,0.276,K0III
4390.253375,1.099,K1III
4479.822346,0.51,K0III
4358.053307,0.797,K1III
10099.4767,-0.351,A1V
4687.811298,2.148,K0IV
4200.023871,0.569,K1III
12498.31318,0.081,B8Vn
5986.410857,4.786,F5V
6565.202018,2.501,F0IV
4704.637204,0.222,K0III
5073.335461,6.274,K0V
6008.56227,1.152,F4V
5466.966362,2.811,G2V
5380.829465,3.846,G2/G3V
3876.136183,-0.326,K3III
3682.225235,-0.643,K5III:
8156.879784,0.411,A3IV
6827.677984,1.378,F2III
4445.964252,0.454,G8/K0III
2752.332397,-11.09,M3Iab
3996.697836,-0.264,K2III
5723.767721,4.126,F8V
3426.373601,-3.383,K3Ib comp SB
5538.407891,4.116,G2V
9681.971242,1.635,A0V
7694.927031,1.731,A5V
5904.062214,3.051,F5/F6V
4460.698201,0.835,K0III
8435.951274,-1.425,B9III
4257.350564,0.339,G9III
5466.966362,3.948,G3V
5731.665298,2.546,F7V
5680.812363,4.772,G0V
4687.811298,0.969,K0III
2766.326267,-10.99,M2Iab
5661.552085,4.166,G0V
3450.631239,-1.672,M2III
4094.355838,0.847,K1III
3618.217897,-0.894,K5III
4520.877388,1.28,G8III
7812.795293,1.664,A5/A6V
6099.259686,3.474,F6V
9495.841085,1.496,A0/A1V
4702.22426,1.341,K0III
5387.595678,3.196,G3Vw
6048.956156,3.252,F5/F6V
5812.167858,3.473,F6V
6099.259686,1.76,F2V
6301.388078,1.89,F3V
4167.61191,-1.539,K0V
12470.61607,-0.382,B7V
3583.569787,-1.221,K5III
7064.19109,1.942,B9V
4050.592415,-0.34,K2/K3IIICN.
5246.647632,4.828,G5V
4218.304751,0.938,K0V
4695.003952,0.466,G8III
5404.604679,3.871,G3V
4067.285593,7.392,K7V
4281.978776,1.537,K1III
5032.92171,5.26,G6V
5085.031918,1.582,G3IV
5221.430881,5.385,G6V
6030.919743,2.792,F5V
4490.535786,-1.003,G8IV
3687.468704,-0.65,K3/K4III
4824.222904,5.757,K1V(p)
4518.693125,2.34,K1III
6080.846809,3.818,F6V
5256.182661,-2.044,F5:Ib-II
6301.388078,1.97,F0V
3955.477962,0.082,K0III
8394.623791,0.49,A3III
5498.828348,2.843,G0V
3739.58948,-0.797,M5IIIvar
4012.839615,-0.04,K1III
4886.927141,6.145,K1V
4067.285593,2.615,K3III
8832.249332,1.434,A1V
5132.500556,3.114,G8V
6117.812585,3.519,F5V
4034.069472,-1.141,K1III
4796.14903,5.975,K1V
5700.237288,4.746,G0V
4404.52898,7.089,K7V:
5470.483793,5.032,G3V
8147.336782,1.164,A4V
4512.156136,0.966,K0III
3809.178671,-1.426,K3III
6510.23969,3.417,F2V
7908.63258,1.362,A7IV
8974.996609,-1.091,B8III
5929.760032,3.845,F7V
4458.585878,0.683,K0/K1III
7145.3898,2.94,A7V
5841.01755,4.032,F7V
3524.884896,-0.436,K5III
4352.081325,1.235,K0III
7471.981274,-0.497,B7III
5272.171064,3.936,G1V
6207.904463,1.149,F5III
6965.870497,2.701,F0III
5638.653958,4.458,G0/G1V
8384.370814,1.854,B9.5V
4569.608647,-0.677,K0III
4358.053307,6.376,K5V
4128.834878,-2.434,G5Iab:
5719.829123,3.429,F6V
6306.406105,2.094,F5V
4390.253375,0.692,G8/K0III
6701.983181,0.27,F0III
4608.175816,1.293,G8V
6145.908227,3.293,F5/F6V
6377.723436,1.094,F4Vvar
6408.910425,2.789,F5V
3550.933907,-0.657,M1III
5428.644273,3.445,K0:III+...
6326.578557,3.785,F5V
5542.041421,4.668,G2V:
8435.951274,1.856,A0III...
5347.314353,5.047,G3V
6217.581636,3.128,F3/F5V
4624.294378,5.924,K1V
5908.325844,3.819,F7V
4592.196982,1.964,G8/K0III
3562.934374,-1.506,K4III
4065.608535,-1.136,K1IIICN...
5079.175272,-0.529,G4III...
4748.606174,1.202,G8III
6644.132206,2.757,F2V
3790.775087,0.089,K2/K3III
5828.609647,2.607,F3V
5401.192143,4.266,G6V
4612.766777,-0.274,G8III
5144.54162,3.975,G5Vw...
4433.431572,1.127,K0III
6684.495933,0.12,B6III
4536.241476,-0.06,K0III
4094.355838,-0.291,K2III
5828.609647,1.809,F6/F7V
5669.236582,2.915,F8V
4019.342092,-0.929,K2III
6321.520329,3.667,F3/F5V
5711.972213,3.066,F7/F8V
4384.170584,0.306,G8II
4437.599311,1.263,K0IIICN...
4220.143794,1.12,K1III
4494.839127,1.612,O9.5Ib
5995.24689,3.32,F7V
5763.530113,3.567,G1V
5202.71605,5.228,G5V
7344.28328,1.503,A5IV
5324.162181,3.006,G2/G3V
7243.130292,2.215,A5V
4205.487318,1.196,K0II
4392.285665,0.891,G8/K0III:
4477.687318,2.624,G8III
5129.501286,-12.3,B8Ib
3606.989902,0.522,M3III
3906.178116,1.013,K2III
6429.914661,3.141,F3V
6099.259686,1.595,F3V
4266.780961,0.914,K0III
4125.3543,1.005,K1/K2IIICN.
11027.06308,0.908,B8.5V
5887.084306,3.155,F5V
4312.784544,1.867,K0III
5951.389681,1.001,F3/F5V
6461.746003,2.039,F0V
3363.369867,-0.194,M3II-III
3830.693448,-0.086,K1/K2III
8563.049568,1.703,A3V
4127.093671,-0.238,K1/K2III
5601,4.065,F7V
3713.968801,0.598,M6IIIvar
4431.35137,0.906,K0III
4187.344542,1.866,K2III
4384.170584,1.853,K0III
3912.256589,0.899,K3IIICN...
3615.715239,-0.562,M0III
6266.539286,3.457,F4V
4077.384384,1.068,G8/K0IV
4346.129759,0.498,G8III
7882.20437,1.872,A4V
4628.92562,0.354,G8III
6108.518527,2.804,F7IV
6053.486361,2.011,F3V
4615.066548,0.526,G8III
5878.641014,2.892,F3V
6094.643406,2.681,F5V
3564.140003,-9.95,K5III
4062.259598,0.219,K0III
4301.167607,1.308,K0II
8498.906498,0.592,A2/A3V
5249.821168,2.659,G5V
4496.994667,0.53,K0III
3129.796798,-3.053,K3Ibvar
4297.31265,0.781,K1III-IV
6141.203225,2.838,F6V
7172.97822,-1.049,B6V
3299.201372,-1.309,M1III
3915.304705,0.705,K2III
4897.576946,3.358,G8V
3924.484792,-1.472,K3III:
9085.914902,1.374,A3Vn
8283.535001,1.282,A3V
3686.156087,-1.603,K4III
5099.747694,3.99,G5V
6164.818732,2.393,F3V
7411.202155,3.414,A2V
3567.763017,-0.126,K5III
4473.424883,0.695,G8III
5650.074022,1.793,B0II-III
6053.486361,2.833,F5V
5657.71959,4.117,G2V
4040.658399,1.079,K2IIICN...
4220.143794,1.195,K2III
4738.746619,0.162,G8/K0III+..
4761.003014,6.11,K3V
3501.614383,-0.623,M4III
6035.416236,3.461,F6V
5502.397278,3.947,G5V
3930.634819,0.247,K1III
6972.318885,2.201,A5Ib
4683.031475,0.802,G8III...
6707.83772,2.169,F0V
6136.507218,0.411,A2/A3V:+...
4562.886161,5.759,K2V
4793.617078,5.572,K1/K2V
5688.56245,4.224,G0V
4671.135032,6.135,K1/K2V:
6352.02231,3.47,F5IV
3907.69552,2.733,K2III:
10638.73515,1.016,A0Vn
5870.22793,3.957,F8V...
6678.692159,1.852,F0IV
3837.932785,-0.531,K5III
8820.608804,0.738,B9III
3604.506604,-0.37,K3/K4III:
3768.427032,1.387,K0V
4330.35789,1.266,G8/K0III
7044.249814,2.028,A9IV
6821.558622,2.563,A9III
6393.269389,2.258,F3/F5IV
4702.22426,0.827,F2V
5144.54162,4.893,G6V
4295.388409,2.173,K1III
6296.38002,3.88,F3V
7214.864373,1.369,A9V
3780.957145,-0.219,K3III
5882.858873,3.324,F5V
6419.391066,3.196,F5IV
3880.60564,-0.72,K2III
4488.387975,0.414,G8III
6085.436994,3.077,F6III
4410.682706,0.695,K0III
5999.677148,3.667,F6V
8573.858089,-0.59,A4III+...
4976.561264,4.954,K1III+...
8435.951274,1.356,A3/A4IV
6183.875378,2.331,F3/F5V
5445.979895,0.573,B9II
6946.614447,2.501,F2V
11705.23786,0.637,B8V
5411.445952,2.234,G1V
4709.472392,0.338,K0/K1IIICNp
5929.760032,3.13,F5V
3814.886376,0.645,K4V
10083.2069,0.001,A2IV
9331.76093,-0.208,A2Vn
8595.57782,0.201,A5III
3836.482182,7.657,K5V
5144.54162,3.492,F7/F8V
4773.481081,5.874,K2V
8333.571644,2.241,A1V
4538.447014,1.422,K0III
7703.198923,1.168,A5V
6246.840911,2.865,F3/F5V
5638.653958,4.346,F8/G0V
3523.712182,-0.874,K5/M0III
4035.714185,-0.323,K2III
4414.79715,1.687,K0III
4384.170584,0.375,K1III
5418.308916,4.428,G3V
3929.095054,-0.151,K2/K3III
9566.363888,-0.412,A2Vs
5414.874716,5.041,G6/G8V
9566.363888,-0.553,A0V
4006.363374,1.394,K1III
3846.665287,0.215,K2/K3III
7097.742302,-0.124,O7V
6914.814815,2.564,F2IV
5044.38623,5.647,K0V
4058.91755,2.15,K2V
7388.726918,1.35,A1V
5411.445952,2.757,F8/G0V
5294.760364,3.547,G5V
4055.582367,0.31,K2III
4075.6969,5.493,K7V:
6357.141813,3.123,F3V
5845.168212,2.526,F7V
10282.88244,0.833,A0V
11776.5029,0.331,B9.5V
6621.339272,0.69,F0V
3614.465532,0.437,K5/M0III
12754.69996,-1.526,B6III
5665.391076,4.606,F7V
5895.557981,2.967,F6V
5428.644273,3.779,G6V
3199.679921,-2.188,G0Ia
4938.036357,2.57,G2III
4134.069534,0.843,K1III
4278.166642,0.551,K0/K1III
5612.23008,3.357,F8V
6548.591755,3.024,F2/F3V
5612.23008,4.326,G0V
4121.881048,1.548,K1III
3680.917278,-0.255,K3III
4471.297467,1.244,K1III
4610.469868,2.836,G8V
4366.047904,0.758,K1III
4429.273606,0.729,K0III
4617.369188,2.153,G8/K0IV
4652.25696,-1.201,K0III
11430.61224,-0.413,B8Vn
4390.253375,1.544,K0III
6803.282497,2.548,F0V
4362.046027,1.08,K0V
5330.751492,5.155,G3V
4320.572871,0.48,K0III
4236.78586,1.399,G8III
6398.472457,-11.63,O9Ib
3594.615993,-0.319,M1/M2III:
4857.93623,5.645,K0V
3638.396243,1.351,K3:III:
5196.514957,5.492,G6V
4560.650822,1.845,G5V
5612.23008,2.386,F8V
3465.168479,-1.338,M0III
3361.284703,-0.924,M2III
4346.129759,0.407,K0IIICN...
11256.26118,-0.501,B7V
4386.195839,1.247,K0III
7873.443931,5.071,G6V
7091.000205,2.566,A7/A8III
10002.83006,1.48,B9V
4183.739424,1.313,K1III
4207.312418,1.244,K1III
5912.597181,3.013,F6V
3953.913759,-0.804,K2III
4527.446045,1.432,G6III
4386.195839,0.765,K0II
6472.444261,2.465,F2V
4645.226725,1.232,G8III
7487.371561,2.033,A3V
5684.684105,3.431,G1V
7694.927031,0.918,A5V
4106.341417,1.861,K2/K3III
6858.48192,0.91,F0V
4270.567765,0.473,A7IVvar+...
4400.438402,0.475,G8III
6150.622251,3.477,F5V
4976.561264,3.341,G8/K0V
6053.486361,2.932,F2V
5414.874716,4.439,G3V
3848.125538,-0.863,K3III
6076.265271,3.436,F7V
4289.628584,0.816,G6III:
5527.542937,3.655,G2V
4125.3543,0.041,K0III
5608.480469,4.666,G2/G3V
6870.901086,2.159,F2V
4437.599311,-0.309,K0III
3961.750278,0.511,K2III
5857.664569,4.031,F8V
5608.480469,3.549,G0IV-V
5601,3.349,G8V
5912.597181,3.422,F6V
7329.616707,1.068,B8V
3493.560061,-1.875,M2III
5857.664569,3.221,F6V
3787.963461,1.554,M0/M1III:
5256.182661,5.056,G6/G8V
12696.59186,-0.515,B7V
8214.730297,1.909,A4V
5925.457649,3.47,F7V
5268.96366,5.046,G8V
4562.886161,1.537,G8IV
4134.069534,2.382,K1III
8446.362817,1.655,A3V
4801.222978,4.931,K0V
6286.393689,3.203,F3/F5V
4034.069472,1.432,K3III
4605.884616,0.773,K0II-III
5964.462482,2.89,F5V
5505.972004,4.239,G5V
5661.552085,4.898,G3V
4378.10882,0.676,K0III
7761.731043,1.566,A7V
3926.020043,-1.263,K2/K3III
3772.592191,0.424,K5III
6393.269389,2.032,F2/F3IV
6346.913103,3.782,F5V
5353.975599,4.509,G3V
4452.263883,1.149,K0III
4416.857972,-0.875,K0III
