teff (K),abs (mag),spect
6499.384764,13.565,DA/F
3383.341509,12.996,dM5  e
3528.4089,12.494,dM5
3281.423853,14.869,dM5.5eJ
8053.418048,12.865,DA6
3493.560061,11.622,dM4
9831.503442,11.408,DA4
3651.151373,15.841,DC9+
3528.4089,10.98,dM4
3393.972601,12.29,dM3-3.5
3482.133851,11.912,dM4  e
5456.447905,14.817,DC9
3362.326881,13.846,dM5  e
3393.972601,13.177,dM5
5015.846467,14.682,DC9
3785.157042,16.2,DC9+
3552.129407,11.761,dM
4585.391205,15.085,DZ9
6610.015901,13.588,DA7
3159.785274,14.926,dM4  :
4274.362982,15.256,DC9
7787.158528,13.006,DA6
3677.000367,9.599,dM3  e
3613.216904,13.532,dM5.5e
7464.315737,11.967,DA6
4608.175816,15.674,DC9
3871.679573,18.084,dM8
6554.116828,13.861,DA7
6908.498473,11.865,DA7
3223.853151,14.415,dM4.5-5
7621.466406,13.788,DA6
6610.015901,14.362,DA s
8147.336782,12.881,DZA6
7703.198923,12.644,DA6
6393.269389,13.934,DA8
3528.4089,12.094,dM4  e
6053.486361,14.194,DQ8
6908.498473,13.471,DC7
3528.4089,12.374,dM3.5
7464.315737,12.227,DA6
6193.45907,13.981,DZ7
3482.133851,12.566,dM5  e
6193.45907,14.206,DA8
4043.962966,8.344,dK8
6499.384764,15.208,DXP9
6785.128294,13.244,DA7
6610.015901,1.659,dF3   J
4540.655236,15.113,DC:9
6393.269389,14.095,DA7
6053.486361,14.637,DXP8
8343.669885,12.801,DA5
8446.362817,12.952,DA6
3613.216904,12.081,sdG0
3842.292834,8.405,dM0
9537.998069,12.57,DXP5
2962.215663,18.676,dM5  e
6291.381901,14.232,DC7
3493.560061,11.869,dM5
9399.260471,11.544,DA5
8147.336782,11.705,DAV5
3393.972601,12.755,dM4.5 J
4392.285665,6.963,dK6
7243.130292,13.375,DA6
4392.285665,15.657,DC9
4608.175816,6.382,dK0
7962.159958,13.294,DA6
3505.08047,12.383,dM
3600.789659,11.427,dM5
6667.122312,13.957,DA7
3470.800612,13.338,dM6  e
3871.679573,7.547,dM1
11728.87288,10.727,DA3
3393.972601,13.464,dM4-5
8891.033292,11.355,DA3
3321.259651,13.687,dM5  e
8446.362817,11.632,DA4
4585.391205,14.075,DC9
